scheme_code,scheme_name,amc_name,min_date,max_date,total_obs,zero_nav_count,extreme_return_count,min_ret_1d,max_ret_1d
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.13945653200667518,0.06814518954523163
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.13952802359882,0.06811094698834719
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1456,0,0,-0.020566284527198664,0.03208390318374099
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1456,0,0,-0.013274336283185861,0.03208410947209517
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0007600690635226615,0.0009117476460418494
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0007602889487099418,0.002851369354360589
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0007603997606000501,0.002851413250192003
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0014262376485257855,0.0010599044558750048
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0007595651813725457,0.0009120541997946763
100047,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0007602245945915742,0.0028516891004808365
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0036353645460219797,0.002104230669578433
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,2192,0,0,-0.0018822076602864612,0.0009198870195161746
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1456,0,0,-0.018790230138435726,0.011869332915644293
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1456,0,0,-0.011146019093972837,0.011862533310976753
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.11687469606094991,0.04841761265909872
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.11684701521838137,0.04840859856690538
100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,2020-01-01,2023-04-13,813,0,0,-0.127570743776094,0.0648742411101475
100068,BARODA ELSS 96 - Plan A - IDCW,Baroda BNP Paribas Mutual Fund,2020-01-01,2022-03-13,546,0,0,-0.13147973609802066,0.08123689727463312
100077,DSP Bond Fund - IDCW,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.06998331764200638,0.02607152102363086
100078,DSP Bond Fund - Growth,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.01044769774101384,0.026076896620009116
100079,DSP Bond Fund - IDCW - Monthly,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.02481987709260436,0.02608160869200593
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,DSP Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.13634738034213512,0.06745340389862275
100081,DSP Aggressive Hybrid Fund- Regular Plan - Growth,DSP Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.1060122344083686,0.04997978101281575
100082,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,DSP Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10601564607499325,0.04999706245226476
100084,DSP Gilt Fund - Regular Plan - Growth,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.011047242315564643,0.017025851437658
100085,DSP Gilt Fund - Regular Plan - IDCW,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.05632611243489938,0.017024936907109378
100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.02645396718506854,0.017032258064516137
100087,DSP Savings Fund - Regular Plan - Growth,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.006921936085828806,0.01375799415966017
100088,DSP Savings Fund - Regular Plan - IDCW,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.03385095917759484,0.013763997994317156
100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,2020-01-01,2025-12-31,1459,0,0,-0.015117879093661135,0.013763112217946016
100119,HDFC Balanced Advantage Fund - Growth Plan,HDFC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.09896704182720584,0.052762792501436895
100120,HDFC Balanced Advantage Fund - IDCW Plan,HDFC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.09895287958115184,0.05277884457124049
100123,HDFC Income Fund - Quarterly IDCW Option,HDFC Mutual Fund,2020-01-01,2025-12-31,1456,0,0,-0.02744151372075687,0.016988571324745072
100124,HDFC Income Fund - Growth Option,HDFC Mutual Fund,2020-01-01,2025-12-31,1456,0,0,-0.013668080824735251,0.01699423195230154
100171,Quant Dynamic Bond-Dividend,quant Mutual Fund,2020-01-01,2021-02-12,276,0,0,-0.0007348407422735903,0.001519615706072397
100172,Quant Dynamic Bond-Growth,quant Mutual Fund,2020-01-01,2021-02-12,276,0,0,-0.000736337956613986,0.0015185626202194324
100173,Quant Dynamic Bond-Bonus,quant Mutual Fund,2020-01-01,2021-02-12,276,0,0,-0.0007367011683284685,0.0015185216870563512
100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,quant Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10083129686488301,0.08107472388833648
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,quant Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10083093039331081,0.08106895724703977
100176,quant Small Cap Fund - IDCW Option - Regular Plan,quant Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.0862102436341281,0.047516846768379306
100177,quant Small Cap Fund - Growth - Regular Plan,quant Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.08620639875271485,0.04748509169762927
100218,JM Large Cap Fund (Regular) - IDCW,JM Financial Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.4098931606799231,0.03980808941387126
100219,JM Large Cap Fund (Regular) - Growth Option,JM Financial Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.08114569909202018,0.039808850242195826
100220,JM Aggressive Hybrid Fund (Regular) - IDCW,JM Financial Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10486855436463494,0.193374855736673
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,JM Financial Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10486971825734182,0.19337747637671332
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,JM Financial Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.012540773532152771,0.020383117553782748
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,JM Financial Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.012542183563857612,0.02038624171402237
100233,JM Liquid Fund (Regular) - Weekly IDCW,JM Financial Mutual Fund,2020-01-01,2025-12-31,1863,0,0,-0.001995374359439306,0.001781526659274002
100234,JM Liquid Fund - Growth Option,JM Financial Mutual Fund,2020-01-01,2025-12-31,1863,0,0,-0.0007252411751503818,0.0017831298474784152
100244,JM Liquid Fund (Regular) - Quarterly IDCW,JM Financial Mutual Fund,2020-01-01,2025-12-31,1863,0,0,-0.0007242292365772229,0.0017833492873160495
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,JM Financial Mutual Fund,2020-01-01,2025-12-31,1863,0,0,-0.0007257783569668552,0.0017844350794766761
100254,JM Value Fund (Regular) - Growth Option,JM Financial Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.15019696293337714,0.07444018026899513
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.0547252390987194,0.01587422200424138
100265,Kotak Gilt-Investment Regular-Growth,Kotak Mahindra Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.009771307603266166,0.015869347613239215
100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.05473685879396584,0.015877305587460366
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,Kotak Mahindra Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.009771468179339271,0.015869833415536272
100286,Kotak Aggressive Hybrid Fund - Regular Plan - IDCW - Payout & Reinvestment of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10222401940962389,0.057031588057118165
100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,2020-01-01,2021-09-17,416,0,0,-0.010269663111133753,0.019533005945565396
100299,Kotak Bond Fund - Regular Plan Growth,Kotak Mahindra Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.010264157209275426,0.01953391927236736
100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,Kotak Mahindra Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.010263480392156854,0.019534809415050258
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,LIC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.12113313563290162,0.07062335881182147
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,LIC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.12113309903761671,0.07061921131571447
100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,LIC Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.011666751887644544,0.01766051889064757
100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,LIC Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.011667460562077792,0.017664040064637287
100316,LIC MF Gilt Fund-Regular Plan-IDCW,LIC Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.010127898674448188,0.011604915738881783
100317,LIC MF Gilt Fund-Regular Plan-Growth,LIC Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.010131605733115334,0.011604839222340013
100318,LIC MF Gilt Fund-PF Plan-IDCW,LIC Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.010133537640136692,0.011601377150330938
100319,LIC MF Gilt Fund-PF Plan-Growth,LIC Mutual Fund,2020-01-01,2025-12-31,1455,0,0,-0.010132465721589656,0.011606326168887682
100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,LIC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.09490226963556947,0.052752856738124576
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,LIC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.09490468594884593,0.05274909458137711
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,LIC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10553410553410547,0.050062483692442816
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,LIC Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.11550377009940993,0.07277022851197312
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.12458745874587462,0.07031963470319647
100349,ICICI Prudential Large & Mid Cap Fund - Growth,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.12504086302713302,0.07019448213478063
100351,ICICI Prudential FMCG Fund - IDCW,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10789295392953924,0.06264936838511437
100352,ICICI Prudential FMCG Fund - Growth,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.10785125980798282,0.06262586571049655
100353,ICICI Prudential ELSS Tax Saver Fund - IDCW,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.11811023622047245,0.07313317936874508
100354,ICICI Prudential ELSS Tax Saver Fund - Growth,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.117911917827494,0.07304709665216569
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.0875462392108507,0.04919093851132694
100356,ICICI Prudential Equity & Debt Fund - Growth,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.08724211305393659,0.049630924630924556
100357,ICICI Prudential Liquid Fund -Quarterly IDCW,ICICI Prudential Mutual Fund,2020-01-01,2022-09-16,820,0,0,-0.013532708958346906,0.002998434227703406
100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,ICICI Prudential Mutual Fund,2020-01-01,2020-04-24,95,0,0,-0.0007445199281479464,0.0009653642835485421
100363,ICICI Prudential Technology Fund - Growth,ICICI Prudential Mutual Fund,2020-01-01,2025-12-31,1482,0,0,-0.1062181898650143,0.0757613270611539
100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,ICICI Prudential Mutual Fund,2020-01-01,2022-09-16,658,0,0,-0.04009042694929388,0.018409580335101428
